,Komentar
274,"['sudah', 'saya', 'lelah', 'baca', 'komen']"
275,"['lihat', 'sangat', 'anjing', 'takut', 'foto', 'dajjal']"
276,"['astaga', 'ngehujat', 'sampai', 'postingan']"
277,"['najis', 'kamu', 'anjing']"
278,"['ekor', 'anjing', 'buaya', 'makan', 'jambut']"
279,"['kalau', 'suruh', 'melihara', 'anjing', 'erick', 'saya', 'pilih', 'anjing', 'saja', 'najis', 'najis', 'erick', 'kontol']"
280,"['ngapain', 'sih', 'ngejudge', 'mikir', 'putus', 'jadi', 'tolol']"
281,"['harga', 'wanita', 'dekat', 'pria', 'pilih']"
282,"['sipat', 'anjing', 'anjing', 'saja', 'yad', 'manusia', 'sipat', 'anjing']"
283,"['potret', 'anjing', 'poto', 'setan']"
284,"['bantu', 'bedain', 'woy', 'anjing', 'babi']"
285,"['udaah', 'woi', 'sudah', 'kamu', 'kasihan', 'lelah', 'ngelike', 'komenan']"
286,"['anjing', 'anjing', 'wujud', 'manusia', 'anjing', 'asli', 'wujud']"
287,"['kasihan', 'saya', 'anjing', 'pegang', 'dajjal']"
288,"['kasihan', 'anjing', 'pegang', 'babi']"
289,"['kamu', 'kontol', 'anjing', 'anak', 'dajjal']"
290,"['muka', 'kamu', 'buruk', 'anjing', 'kamu']"
291,"['kasih', 'bening', 'pilih', 'daki']"
292,"['mending', 'masuk', 'penjara', 'saja', 'sudah', 'umur', 'hidup']"
293,"['lebih', 'lucu', 'anjing', 'ktimbang', 'orang']"
294,"['jesica', 'lepas', 'kambing', 'hitam']"
295,"['maafin', 'saja', 'bro', 'orang', 'salah', 'salah', 'nasehatin', 'saja', 'tahu', 'ubah']"
296,"['kasihan', 'anjing', 'peluk', 'sma', 'sampah']"
297,"['saya', 'penjara', 'ubah']"
298,"['cinta', 'batas', 'kertas', 'enteng', 'bang']"
299,"['jane', 'respect', 'sekarang', 'benar', 'sudah', 'hilang', 'respect']"
300,"['sudah', 'tani', 'sulit', 'kamu', 'pas', 'sudah', 'selingkuh', 'sangka', 'idola', 'saya', 'sampah']"
301,"['hujat', 'habis', 'postingan', 'komen']"
302,"['saya', 'tidak bisa', 'bedain', 'anjing', 'manusia', 'liat']"
303,"['kamu', 'anak', 'kick', 'andy', 'nama', 'marlo', 'bang']"
304,"['orang', 'karena', 'orang', 'jahat']"
305,"['tidak', 'niat', 'ada', 'aji', 'begitu', 'bang']"
306,"['suka', 'sekali', 'rambut', 'ganteng']"
307,"['saja', 'kaya', 'gin', 'bilang', 'king', 'king', 'muka', 'sudah', 'kaya', 'tai', 'musang']"
308,"['tinggal', 'berlian', 'tai', 'babi', 'dih']"
309,"['ganteng', 'kaga', 'kamu', 'lihat', 'kaya', 'daki', 'kontol']"
310,"['muka', 'kamu', 'mirip', 'tapir', 'kuda', 'asu', 'sok', 'ganteng', 'sekali', 'kamu']"
311,"['kecewa', 'kamu', 'rik']"
312,"['maaf', 'yemuke', 'kamu', 'sudah', 'jelek', 'kaga', 'sok', 'selingkuh', 'cakep', 'anjing', 'saya', 'noh']"
313,"['sih', 'hebat', 'banci', 'badan', 'penuh', 'koreng', 'kaya', 'kamu']"
314,"['gin', 'bersih', 'kaga', 'seperti', 'dekil']"
315,"['muka', 'kamu', 'keriput', 'seperti', 'aki', 'aki']"
316,"['foto', 'jelek', 'hujat', 'foto', 'ganteng', 'bilang', 'sok', 'ganteng']"
317,"['banyak', 'nyabu', 'kurus', 'kamu']"
318,"['narkoboy', 'ngeluarin', 'lidah', 'anjing', 'tes', 'urin']"
319,"['fotolu', 'pede', 'anjir', 'muka', 'kamu', 'itu', 'anjir']"
320,"['hidup', 'jangan', 'bos', 'playboy', 'anjing', 'kamu']"
321,"['muka', 'kamu', 'seperti', 'aktor', 'bokep', 'bangsat', 'mending', 'ngobat', 'saja', 'kamu']"
322,"['sudah', 'jelek', 'semangat', 'pulak']"
323,"['muka', 'begitu', 'seren', 'bikin', 'mual', 'liat']"
324,"['anjing', 'ngewe', 'ama', 'lonte', 'bangsat']"
325,"['muka', 'seperti', 'kontol', 'mending', 'penjara']"
326,"['muka', 'seperti', 'banci', 'dih', 'najis']"
327,"['nanti', 'mati', 'konyol']"
328,"['bilang', 'jelek', 'enak', 'he']"
329,"['idih', 'pantas', 'saja', 'foto', 'keluarin', 'lidah', 'seperti', 'begitu', 'nyata', 'tukang', 'jilat']"
330,"['orang', 'kalau', 'lomba', 'babi', 'babi', 'juara']"
331,"['titis', 'dajjal', 'memang', 'kamu', 'nyet']"
332,"['et', 'muka', 'kamu', 'saja', 'begitu', 'dih', 'ha', 'biarin', 'saja', 'sampah', 'ketemu', 'sampah', 'biar', 'busuk']"
